pl_name,discoverymethod,pl_controv_flag,pl_orbsmax,pl_msinie,pl_dens,pl_orbeccen,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens
Kepler-197 d,Transit,0,,,,,6180.00,1.17,1.01,-0.280,,4.30,5.370,
Kepler-197 d,Transit,0,0.119400,,,0.000000,6004.00,1.12,0.92,-0.380,,4.30,,0.9331
Kepler-197 d,Transit,0,,,,,5945.00,1.17,,,,,,
Kepler-197 d,Transit,0,0.118500,,,0.000000,6003.00,1.11,0.90,-0.380,,4.30,,0.0681
Kepler-197 d,Transit,0,,,,,5963.52,1.21,1.09,-0.441,0.222,4.31,,0.8710
Kepler-197 d,Transit,0,0.119400,,,0.000000,6004.00,1.12,0.92,-0.380,,4.30,,0.9331
Kepler-197 d,Transit,0,0.117000,,,0.000000,5877.00,1.18,0.86,,,4.23,11.700,
Kepler-197 d,Transit,0,,,,0.030000,5963.52,1.21,1.09,-0.441,0.222,4.31,,0.8710
Kepler-197 d,Transit,0,,,,,,1.12,0.92,,,,,
Kepler-197 d,Transit,0,0.119000,,,,6004.00,1.12,,,,4.30,,
Kepler-197 d,Transit,0,,,,,5963.52,1.21,1.09,-0.441,0.222,4.31,,0.8710
Kepler-197 d,Transit,0,,,,,5963.52,1.21,1.09,-0.441,0.222,4.31,,0.8710
Kepler-197 e,Transit,0,0.163800,,,0.000000,6004.00,1.12,0.92,-0.380,,4.30,,0.3742
Kepler-197 e,Transit,0,,,,,5945.00,1.17,,,,,,
Kepler-197 e,Transit,0,0.163800,,,0.000000,6004.00,1.12,0.92,-0.380,,4.30,,0.3742
Kepler-197 e,Transit,0,,,,,5963.52,1.21,1.09,-0.441,0.222,4.31,,0.8710
Kepler-197 e,Transit,0,0.163800,,,0.000000,6004.00,1.12,0.92,-0.380,,4.30,,0.3742
Kepler-197 e,Transit,0,0.162600,,,0.000000,6003.00,1.11,0.90,-0.380,,4.30,,0.2077
Kepler-197 e,Transit,0,,,,,5963.52,1.21,1.09,-0.441,0.222,4.31,,0.8710
Kepler-197 e,Transit,0,,,,0.380000,5963.52,1.21,1.09,-0.441,0.222,4.31,,0.8710
Kepler-197 e,Transit,0,0.160000,,,0.000000,5877.00,1.18,0.86,,,4.23,11.700,
Kepler-197 e,Transit,0,0.164000,,,,6004.00,1.12,,,,4.30,,
Kepler-197 e,Transit,0,,,,,6180.00,1.17,1.01,-0.280,,4.30,5.370,
Kepler-197 e,Transit,0,,,,,5963.52,1.21,1.09,-0.441,0.222,4.31,,0.8710
Kepler-198 b,Transit,0,0.131100,,,0.000000,5733.00,0.85,0.95,-0.120,,4.55,,1.8477
Kepler-198 b,Transit,0,0.131000,,,0.000000,5725.00,0.85,0.96,,,4.56,0.400,
Kepler-198 b,Transit,0,,,,,5569.29,0.95,0.98,0.114,-0.109,4.48,,1.6273
Kepler-198 b,Transit,0,0.131000,,,,5574.00,0.94,,,,4.47,,
Kepler-198 b,Transit,0,0.131100,,,0.000000,5733.00,0.85,0.95,-0.120,,4.55,,1.8477
Kepler-198 b,Transit,0,,,,,5636.00,0.93,0.97,0.040,,4.49,3.720,
Kepler-198 b,Transit,0,,,,,5569.29,0.95,0.98,0.114,-0.109,4.48,,1.6273
Kepler-198 b,Transit,0,0.130400,,,0.000000,5569.00,0.93,0.94,0.070,,4.47,,1.8037
Kepler-198 b,Transit,0,,,,,5569.29,0.95,0.98,0.114,-0.109,4.48,,1.6273
Kepler-198 b,Transit,0,0.131100,,,0.000000,5733.00,0.85,0.95,-0.120,,4.55,,1.8477
Kepler-198 b,Transit,0,,,,,5681.00,0.90,,,,,,
Kepler-198 c,Transit,0,,,,,5681.00,0.90,,,,,,
Kepler-198 c,Transit,0,0.259600,,,0.000000,5733.00,0.85,0.95,-0.120,,4.55,,3.7920
Kepler-198 c,Transit,0,0.259000,,,,5574.00,0.94,,,,4.47,,
Kepler-198 c,Transit,0,,,,,5569.29,0.95,0.98,0.114,-0.109,4.48,,1.6273
Kepler-198 c,Transit,0,0.258300,,,0.000000,5569.00,0.93,0.94,0.070,,4.47,,1.1208
Kepler-198 c,Transit,0,,,,,5636.00,0.93,0.97,0.040,,4.49,3.720,
Kepler-198 c,Transit,0,0.259600,,,0.000000,5733.00,0.85,0.95,-0.120,,4.55,,3.7920
Kepler-198 c,Transit,0,0.260000,,,0.000000,5725.00,0.85,0.96,,,4.56,0.400,
Kepler-198 c,Transit,0,,,,,5569.29,0.95,0.98,0.114,-0.109,4.48,,1.6273
Kepler-198 c,Transit,0,0.259600,,,0.000000,5733.00,0.85,0.95,-0.120,,4.55,,3.7920
Kepler-198 c,Transit,0,,,,,5569.29,0.95,0.98,0.114,-0.109,4.48,,1.6273
Kepler-198 d,Transit,0,0.023100,,,0.000000,5733.00,0.85,0.95,-0.120,,4.55,,2.0626
Kepler-198 d,Transit,0,0.023100,,,0.000000,5733.00,0.85,0.95,-0.120,,4.55,,2.0626
Kepler-198 d,Transit,0,0.022900,,,0.000000,5569.00,0.93,0.94,0.070,,4.47,,2.0108
Kepler-198 d,Transit,0,,,,,5636.00,0.93,0.97,0.040,,4.49,3.720,
Kepler-198 d,Transit,0,,,,,5569.29,0.95,0.98,0.114,-0.109,4.48,,1.6273
Kepler-198 d,Transit,0,,,,,5569.29,0.95,0.98,0.114,-0.109,4.48,,1.6273
Kepler-198 d,Transit,0,0.023000,,,0.000000,5725.00,0.85,0.96,,,4.56,0.400,
Kepler-198 d,Transit,0,,,,,5681.00,0.90,,,,,,
Kepler-198 d,Transit,0,0.023100,,,0.000000,5733.00,0.85,0.95,-0.120,,4.55,,2.0626
Kepler-198 d,Transit,0,,,,,5569.29,0.95,0.98,0.114,-0.109,4.48,,1.6273
Kepler-199 b,Transit,0,0.161000,,,0.000000,5980.00,1.16,1.00,,,4.31,6.700,
Kepler-199 b,Transit,0,,,,,5698.30,0.92,1.01,-0.048,-0.097,4.52,,1.8420
Kepler-199 b,Transit,0,0.160200,,,0.000000,5989.00,1.13,0.98,-0.160,,4.32,,1.7009
Kepler-199 b,Transit,0,0.160200,,,0.000000,5989.00,1.13,0.98,-0.160,,4.32,,1.7009
Kepler-199 b,Transit,0,,,,,5698.30,0.92,1.01,-0.048,-0.097,4.52,,1.8420
Kepler-199 b,Transit,0,,,,,5709.00,0.88,0.96,-0.120,,4.54,1.450,
Kepler-199 b,Transit,0,0.158000,,,,5644.00,0.97,,,,4.44,,
Kepler-199 b,Transit,0,,,,,5721.00,0.92,,,,,,
Kepler-199 b,Transit,0,0.160200,,,0.000000,5989.00,1.13,0.98,-0.160,,4.32,,1.7009
Kepler-199 b,Transit,0,0.160200,,,0.000000,5750.00,0.88,0.98,-0.040,,4.54,,1.7247
Kepler-199 c,Transit,0,0.321100,,,0.000000,5989.00,1.13,0.98,-0.160,,4.32,,1.8892
Kepler-199 c,Transit,0,,,,,5698.30,0.92,1.01,-0.048,-0.097,4.52,,1.8420
Kepler-199 c,Transit,0,0.316000,,,,5644.00,0.97,,,,4.44,,
Kepler-199 c,Transit,0,,,,,5721.00,0.92,,,,,,
Kepler-199 c,Transit,0,,,,,5698.30,0.92,1.01,-0.048,-0.097,4.52,,1.8420
Kepler-199 c,Transit,0,0.321100,,,0.000000,5989.00,1.13,0.98,-0.160,,4.32,,1.8892
Kepler-199 c,Transit,0,,,,,5698.30,0.92,1.01,-0.048,-0.097,4.52,,1.8420
Kepler-199 c,Transit,0,0.324000,,,0.000000,5980.00,1.16,1.00,,,4.31,6.700,
Kepler-199 c,Transit,0,,,,,5709.00,0.88,0.96,-0.120,,4.54,1.450,
Kepler-199 c,Transit,0,0.321100,,,0.000000,5989.00,1.13,0.98,-0.160,,4.32,,1.8892
Kepler-199 c,Transit,0,0.321100,,,0.000000,5750.00,0.88,0.98,-0.040,,4.54,,0.3608
Kepler-20 b,Transit,0,0.044800,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,0.3725
Kepler-20 b,Transit,0,0.044800,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,2.2061
Kepler-20 b,Transit,0,,,,,5489.00,0.91,0.96,0.020,-0.165,4.50,,1.7669
Kepler-20 b,Transit,0,,,,,5489.00,0.91,0.96,0.020,-0.165,4.50,,1.7669
Kepler-20 b,Transit,0,,,,,5489.00,0.91,0.96,0.020,-0.165,4.50,,1.7669
Kepler-20 b,Transit,0,0.044800,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,0.3725
Kepler-20 b,Transit,0,0.044800,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,0.3725
Kepler-20 b,Transit,0,0.045370,,6.50000,0.320000,5455.00,0.94,0.91,0.010,-0.149,4.40,8.800,1.5100
Kepler-20 b,Transit,0,,,,,5569.00,0.93,0.95,0.040,,4.48,5.250,
Kepler-20 b,Transit,0,0.046300,,8.20000,0.030000,5495.00,0.96,0.95,0.070,,4.45,7.600,
Kepler-20 b,Transit,0,,,,,5508.00,0.89,,,,,,
Kepler-20 b,Transit,0,0.045000,,,0.000000,5443.00,0.94,0.90,,,4.45,9.300,
Kepler-20 c,Transit,0,,,,,5489.00,0.91,0.96,0.020,-0.165,4.50,,1.7669
Kepler-20 c,Transit,0,,,,,5508.00,0.89,,,,,,
Kepler-20 c,Transit,0,0.094900,,2.50000,0.160000,5495.00,0.96,0.95,0.070,,4.45,7.600,
Kepler-20 c,Transit,0,0.093000,,2.91000,0.400000,5455.00,0.94,0.91,0.010,-0.149,4.40,8.800,1.5100
Kepler-20 c,Transit,0,,,,,5489.00,0.91,0.96,0.020,-0.165,4.50,,1.7669
Kepler-20 c,Transit,0,0.093000,,,0.000000,5443.00,0.94,0.90,,,4.45,9.300,
Kepler-20 c,Transit,0,0.091900,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,1.4104
Kepler-20 c,Transit,0,0.091900,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,1.3803
Kepler-20 c,Transit,0,,,,,5569.00,0.93,0.95,0.040,,4.48,5.250,
Kepler-20 c,Transit,0,0.091900,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,1.3803
Kepler-20 c,Transit,0,0.091900,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,1.3803
Kepler-20 c,Transit,0,,,,,5489.00,0.91,0.96,0.020,-0.165,4.50,,1.7669
Kepler-20 d,Transit,0,0.341100,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,1.8117
Kepler-20 d,Transit,0,0.345300,,4.07000,0.600000,5455.00,0.94,0.91,0.010,-0.149,4.40,8.800,1.5100
Kepler-20 d,Transit,0,,,,,5489.00,0.91,0.96,0.020,-0.165,4.50,,1.7669
Kepler-20 d,Transit,0,,,,,5508.00,0.89,,,,,,
Kepler-20 d,Transit,0,,,,,5569.00,0.93,0.95,0.040,,4.48,5.250,
Kepler-20 d,Transit,0,0.341100,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,1.8117
Kepler-20 d,Transit,0,0.341100,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,1.8855
Kepler-20 d,Transit,0,0.350600,,2.70000,,5495.00,0.96,0.95,0.070,,4.45,7.600,
Kepler-20 d,Transit,0,0.344000,,,0.000000,5443.00,0.94,0.90,,,4.45,9.300,
Kepler-20 d,Transit,0,0.341100,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,1.8117
Kepler-20 d,Transit,0,,,,,5489.00,0.91,0.96,0.020,-0.165,4.50,,1.7669
Kepler-20 d,Transit,0,,,,,5489.00,0.91,0.96,0.020,-0.165,4.50,,1.7669
Kepler-20 e,Transit,0,0.062600,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,1.2626
Kepler-20 e,Transit,0,0.063900,,,,5495.00,0.96,0.95,0.070,,4.45,7.600,
Kepler-20 e,Transit,0,,,,0.280000,5466.00,0.94,0.91,0.020,-0.069,4.44,8.800,1.5100
Kepler-20 e,Transit,0,0.062600,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,1.2626
Kepler-20 e,Transit,0,,,,,5489.00,0.91,0.96,0.020,-0.165,4.50,,1.7669
Kepler-20 e,Transit,0,,,,,5569.00,0.93,0.95,0.040,,4.48,5.250,
Kepler-20 e,Transit,0,0.062600,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,1.2626
Kepler-20 e,Transit,0,,,,,5489.00,0.91,0.96,0.020,-0.165,4.50,,1.7669
Kepler-20 e,Transit,0,0.063000,,,0.000000,5443.00,0.94,0.90,,,4.45,9.300,
Kepler-20 e,Transit,0,0.062600,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,1.8653
Kepler-20 e,Transit,0,,,,,5508.00,0.89,,,,,,
Kepler-20 f,Transit,0,0.139600,,,,5495.00,0.96,0.95,0.070,,4.45,7.600,
Kepler-20 f,Transit,0,,,,,5489.00,0.91,0.96,0.020,-0.165,4.50,,1.7669
Kepler-20 f,Transit,0,0.136200,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,4.3692
Kepler-20 f,Transit,0,,,,0.320000,5466.00,0.94,0.91,0.020,-0.069,4.44,8.800,1.5100
Kepler-20 f,Transit,0,0.136200,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,2.7465
Kepler-20 f,Transit,0,,,,,5489.00,0.91,0.96,0.020,-0.165,4.50,,1.7669
Kepler-20 f,Transit,0,0.136200,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,2.7465
Kepler-20 f,Transit,0,0.137000,,,0.000000,5443.00,0.94,0.90,,,4.45,9.300,
Kepler-20 f,Transit,0,,,,,5508.00,0.89,,,,,,
Kepler-20 f,Transit,0,0.136200,,,0.000000,5465.00,0.93,0.88,0.020,,4.45,,2.7465
Kepler-20 f,Transit,0,,,,,5569.00,0.93,0.95,0.040,,4.48,5.250,
Kepler-20 f,Transit,0,,,,,5489.00,0.91,0.96,0.020,-0.165,4.50,,1.7669
Kepler-20 g,Radial Velocity,0,0.205500,19.96000,,0.150000,5495.00,0.96,0.95,0.070,,4.45,7.600,
Kepler-200 b,Transit,0,0.080000,,,,5678.00,0.94,,,,4.45,,
Kepler-200 b,Transit,0,0.083200,,,0.000000,6053.00,1.28,1.04,-0.100,,4.24,,0.1306
Kepler-200 b,Transit,0,0.078700,,,0.000000,5675.00,0.92,0.88,-0.180,,4.46,,1.1187
Kepler-200 b,Transit,0,,,,,5838.55,0.99,1.05,-0.006,0.008,4.47,,1.5437
Kepler-200 b,Transit,0,0.083200,,,0.000000,6053.00,1.28,1.04,-0.100,,4.24,,0.1306
Kepler-200 b,Transit,0,,,,,5838.55,0.99,1.05,-0.006,0.008,4.47,,1.5437
Kepler-200 b,Transit,0,0.083200,,,0.000000,6053.00,1.28,1.04,-0.100,,4.24,,0.1306
Kepler-200 b,Transit,0,,,,,5773.00,0.95,0.98,-0.070,,4.47,3.630,
Kepler-200 b,Transit,0,,,,,5838.55,0.99,1.05,-0.006,0.008,4.47,,1.5437
Kepler-200 b,Transit,0,0.083000,,,0.000000,6034.00,1.28,1.04,,,4.24,6.300,
Kepler-200 b,Transit,0,,,,,5785.00,0.99,,,,,,
Kepler-200 c,Transit,0,,,,,5773.00,0.95,0.98,-0.070,,4.47,3.630,
Kepler-200 c,Transit,0,0.093400,,,0.000000,6053.00,1.28,1.04,-0.100,,4.24,,60.8600
Kepler-200 c,Transit,0,0.090000,,,,5678.00,0.94,,,,4.45,,
Kepler-200 c,Transit,0,,,,,5838.55,0.99,1.05,-0.006,0.008,4.47,,1.5437
Kepler-200 c,Transit,0,0.093400,,,0.000000,6053.00,1.28,1.04,-0.100,,4.24,,60.8600
Kepler-200 c,Transit,0,0.088300,,,0.000000,5675.00,0.92,0.88,-0.180,,4.46,,4.6704
Kepler-200 c,Transit,0,,,,,5785.00,0.99,,,,,,
Kepler-200 c,Transit,0,0.093400,,,0.000000,6053.00,1.28,1.04,-0.100,,4.24,,60.8600
Kepler-200 c,Transit,0,0.093000,,,0.000000,6034.00,1.28,1.04,,,4.24,6.300,
Kepler-200 c,Transit,0,,,,,5838.55,0.99,1.05,-0.006,0.008,4.47,,1.5437
Kepler-201 b,Transit,0,0.175800,,,0.000000,6131.00,1.24,1.10,0.040,,4.29,,0.2827
Kepler-201 b,Transit,0,0.175800,,,0.000000,6131.00,1.24,1.10,0.040,,4.29,,0.2827
Kepler-201 b,Transit,0,,,,,6240.51,1.28,1.21,-0.044,0.348,4.31,,0.8179
Kepler-201 b,Transit,0,,,,,6240.51,1.28,1.21,-0.044,0.348,4.31,,0.8179
Kepler-201 b,Transit,0,0.175000,,,,6065.00,1.23,,,,4.29,,
Kepler-201 b,Transit,0,,,,,6152.00,1.27,,,,,,
Kepler-201 b,Transit,0,0.179000,,,0.000000,6034.00,1.18,1.16,0.240,,4.36,,0.1610
Kepler-201 b,Transit,0,,,,,6240.51,1.28,1.21,-0.044,0.348,4.31,,0.8179
Kepler-201 b,Transit,0,0.180000,,,0.000000,6133.00,1.24,1.18,,,4.32,2.900,
Kepler-201 b,Transit,0,0.175800,,,0.000000,6131.00,1.24,1.10,0.040,,4.29,,0.2827
Kepler-201 b,Transit,0,,,,,6150.00,1.20,1.18,0.150,,4.35,2.190,
Kepler-201 c,Transit,0,0.575200,,,0.000000,6131.00,1.24,1.10,0.040,,4.29,,0.8351
Kepler-201 c,Transit,0,,,,,6150.00,1.20,1.18,0.150,,4.35,2.190,
Kepler-201 c,Transit,0,,,,,6152.00,1.27,,,,,,
Kepler-201 c,Transit,0,0.573000,,,,6065.00,1.23,,,,4.29,,
Kepler-201 c,Transit,0,,,,,6240.51,1.28,1.21,-0.044,0.348,4.31,,0.8179
Kepler-201 c,Transit,0,0.575200,,,0.000000,6131.00,1.24,1.10,0.040,,4.29,,0.8351
Kepler-201 c,Transit,0,,,,,6240.51,1.28,1.21,-0.044,0.348,4.31,,0.8179
Kepler-201 c,Transit,0,0.575200,,,0.000000,6131.00,1.24,1.10,0.040,,4.29,,0.8351
Kepler-201 c,Transit,0,,,,,6240.51,1.28,1.21,-0.044,0.348,4.31,,0.8179
Kepler-201 c,Transit,0,0.585500,,,0.000000,6034.00,1.18,1.16,0.240,,4.36,,0.1953
Kepler-201 c,Transit,0,0.588000,,,0.000000,6133.00,1.24,1.18,,,4.32,2.900,
Kepler-202 b,Transit,0,,,,,4762.00,0.69,,,,,,
Kepler-202 b,Transit,0,0.045500,,,0.000000,4806.00,0.72,0.76,0.000,,4.60,,1.0491
Kepler-202 b,Transit,0,0.045500,,,0.000000,4806.00,0.72,0.76,0.000,,4.60,,1.0491
Kepler-202 b,Transit,0,0.044000,,,0.000000,4763.00,0.66,0.68,,,4.63,13.400,
Kepler-202 b,Transit,0,0.045500,,,0.000000,4806.00,0.72,0.76,0.000,,4.60,,1.0491
Kepler-202 b,Transit,0,,,,,4603.51,0.75,0.73,-0.263,-0.638,4.55,,2.3973
Kepler-202 b,Transit,0,,,,,4791.00,0.73,0.78,0.010,,4.61,3.240,
Kepler-202 b,Transit,0,0.045000,,,,4668.00,0.67,,,,4.65,,
Kepler-202 b,Transit,0,,,,,4603.51,0.75,0.73,-0.263,-0.638,4.55,,2.3973
Kepler-202 b,Transit,0,0.044900,,,0.000000,4671.00,0.68,0.75,0.000,,4.64,,4.2466
Kepler-202 b,Transit,0,,,,,4603.51,0.75,0.73,-0.263,-0.638,4.55,,2.3973
Kepler-202 c,Transit,0,,,,,4603.51,0.75,0.73,-0.263,-0.638,4.55,,2.3973
Kepler-202 c,Transit,0,0.114700,,,0.000000,4806.00,0.72,0.76,0.000,,4.60,,5.2922
Kepler-202 c,Transit,0,0.113200,,,0.000000,4671.00,0.68,0.75,0.000,,4.64,,4.7440
Kepler-202 c,Transit,0,,,,,4762.00,0.69,,,,,,
Kepler-202 c,Transit,0,0.111000,,,0.000000,4763.00,0.66,0.68,,,4.63,13.400,
Kepler-202 c,Transit,0,,,,,4791.00,0.73,0.78,0.010,,4.61,3.240,
Kepler-202 c,Transit,0,0.114700,,,0.000000,4806.00,0.72,0.76,0.000,,4.60,,5.2922
Kepler-202 c,Transit,0,,,,,4603.51,0.75,0.73,-0.263,-0.638,4.55,,2.3973
Kepler-202 c,Transit,0,0.113000,,,,4668.00,0.67,,,,4.65,,
Kepler-202 c,Transit,0,,,,,4603.51,0.75,0.73,-0.263,-0.638,4.55,,2.3973
Kepler-202 c,Transit,0,0.114700,,,0.000000,4806.00,0.72,0.76,0.000,,4.60,,5.2922
Kepler-203 b,Transit,0,,,,,5871.24,1.08,1.06,0.048,0.094,4.40,,1.1977
Kepler-203 b,Transit,0,0.041800,,,0.000000,5821.00,1.08,0.97,-0.020,,4.36,,1.4093
Kepler-203 b,Transit,0,,,,,5871.24,1.08,1.06,0.048,0.094,4.40,,1.1977
Kepler-203 b,Transit,0,0.042000,,,0.000000,5924.00,0.91,1.01,,,4.52,0.500,
Kepler-203 b,Transit,0,0.043000,,,,5821.00,1.11,,,,4.36,,
Kepler-203 b,Transit,0,,,,,5887.00,1.04,,,,,,
Kepler-203 b,Transit,0,,,,,5871.24,1.08,1.06,0.048,0.094,4.40,,1.1977
Kepler-203 b,Transit,0,0.042400,,,0.000000,5949.00,0.94,1.01,-0.100,,4.50,,1.5696
Kepler-203 b,Transit,0,,,,,5794.00,1.03,1.00,-0.010,,4.40,5.500,
Kepler-203 b,Transit,0,0.042400,,,0.000000,5949.00,0.94,1.01,-0.100,,4.50,,1.5696
Kepler-203 b,Transit,0,0.042400,,,0.000000,5949.00,0.94,1.01,-0.100,,4.50,,1.5696
Kepler-203 c,Transit,0,0.060300,,,0.000000,5949.00,0.94,1.01,-0.100,,4.50,,5.5499
Kepler-203 c,Transit,0,,,,,5871.24,1.08,1.06,0.048,0.094,4.40,,1.1977
Kepler-203 c,Transit,0,0.060000,,,0.000000,5924.00,0.91,1.01,,,4.52,0.500,
Kepler-203 c,Transit,0,,,,,5871.24,1.08,1.06,0.048,0.094,4.40,,1.1977
Kepler-203 c,Transit,0,,,,,5887.00,1.04,,,,,,
Kepler-203 c,Transit,0,0.060300,,,0.000000,5949.00,0.94,1.01,-0.100,,4.50,,5.5499
Kepler-203 c,Transit,0,,,,,,0.94,1.01,,,,,
Kepler-203 c,Transit,0,0.059500,,,0.000000,5821.00,1.08,0.97,-0.020,,4.36,,2.2330
Kepler-203 c,Transit,0,0.061000,,,,5821.00,1.11,,,,4.36,,
Kepler-203 c,Transit,0,,,,,5871.24,1.08,1.06,0.048,0.094,4.40,,1.1977
Kepler-203 c,Transit,0,0.060300,,,0.000000,5949.00,0.94,1.01,-0.100,,4.50,,5.5499
Kepler-203 c,Transit,0,,,,,5794.00,1.03,1.00,-0.010,,4.40,5.500,
Kepler-203 d,Transit,0,0.099200,,,0.000000,5949.00,0.94,1.01,-0.100,,4.50,,0.9894
Kepler-203 d,Transit,0,0.099200,,,0.000000,5949.00,0.94,1.01,-0.100,,4.50,,0.9894
Kepler-203 d,Transit,0,0.099200,,,0.000000,5949.00,0.94,1.01,-0.100,,4.50,,0.9894
Kepler-203 d,Transit,0,,,,,5871.24,1.08,1.06,0.048,0.094,4.40,,1.1977
Kepler-203 d,Transit,0,0.099000,,,0.000000,5924.00,0.91,1.01,,,4.52,0.500,
Kepler-203 d,Transit,0,0.100000,,,,5821.00,1.11,,,,4.36,,
Kepler-203 d,Transit,0,,,,,5871.24,1.08,1.06,0.048,0.094,4.40,,1.1977
Kepler-203 d,Transit,0,0.097900,,,0.000000,5821.00,1.08,0.97,-0.020,,4.36,,1.7381
Kepler-203 d,Transit,0,,,,,5887.00,1.04,,,,,,
Kepler-203 d,Transit,0,,,,,5871.24,1.08,1.06,0.048,0.094,4.40,,1.1977
Kepler-203 d,Transit,0,,,,,5794.00,1.03,1.00,-0.010,,4.40,5.500,
Kepler-203 d,Transit,0,,,,,,0.94,1.01,,,,,
Kepler-204 b,Transit,0,0.117000,,,,5812.00,1.24,,,,4.27,,
Kepler-204 b,Transit,0,0.115600,,,0.000000,6095.00,1.04,0.99,-0.220,,4.40,,0.7005
Kepler-204 b,Transit,0,,,,,5877.00,0.99,,,,,,
Kepler-204 b,Transit,0,,,,,5799.00,1.03,1.04,,0.030,4.43,,1.3603
Kepler-204 b,Transit,0,,,,,5799.00,1.03,1.04,,0.030,4.43,,1.3603
Kepler-204 b,Transit,0,0.114900,,,0.000000,5815.00,1.20,0.98,-0.020,,4.27,,0.2526
Kepler-204 b,Transit,0,,,,,5799.00,1.03,1.04,,0.030,4.43,,1.3603
Kepler-204 b,Transit,0,0.115600,,,0.000000,6095.00,1.04,0.99,-0.220,,4.40,,0.7005
Kepler-204 b,Transit,0,0.118000,,,0.000000,6098.00,1.07,1.05,,,4.40,3.300,
Kepler-204 b,Transit,0,,,,,5865.00,1.11,1.03,0.010,,4.35,5.750,
Kepler-204 b,Transit,0,0.115600,,,0.000000,6095.00,1.04,0.99,-0.220,,4.40,,0.7005
Kepler-204 c,Transit,0,0.173000,,,,5812.00,1.24,,,,4.27,,
Kepler-204 c,Transit,0,,,,,5877.00,0.99,,,,,,
Kepler-204 c,Transit,0,,,,,5799.00,1.03,1.04,,0.030,4.43,,1.3603
Kepler-204 c,Transit,0,,,,,5865.00,1.11,1.03,0.010,,4.35,5.750,
Kepler-204 c,Transit,0,,,,,5799.00,1.03,1.04,,0.030,4.43,,1.3603
Kepler-204 c,Transit,0,,,,,5799.00,1.03,1.04,,0.030,4.43,,1.3603
Kepler-204 c,Transit,0,0.173000,,,0.000000,6098.00,1.07,1.05,,,4.40,3.300,
Kepler-204 c,Transit,0,0.169900,,,0.000000,6095.00,1.04,0.99,-0.220,,4.40,,2.3331
Kepler-204 c,Transit,0,0.169900,,,0.000000,6095.00,1.04,0.99,-0.220,,4.40,,2.3331
Kepler-204 c,Transit,0,0.169900,,,0.000000,6095.00,1.04,0.99,-0.220,,4.40,,2.3331
Kepler-204 c,Transit,0,0.168900,,,0.000000,5815.00,1.20,0.98,-0.020,,4.27,,0.3659
Kepler-205 b,Transit,0,,,,,4281.60,0.60,0.67,-0.125,-0.956,4.70,,4.2712
Kepler-205 b,Transit,0,0.031900,,,0.000000,4121.00,0.55,0.57,-0.340,,4.71,,1.4349
Kepler-205 b,Transit,0,0.030700,,,0.000000,3834.00,0.48,0.51,-0.250,,4.78,,1.9768
Kepler-205 b,Transit,0,0.030680,,,,3834.00,0.48,0.51,-0.250,,,,
Kepler-205 b,Transit,0,0.032000,,,,4321.00,0.55,,,,4.74,,
Kepler-205 b,Transit,0,,,,,4281.60,0.60,0.67,-0.125,-0.956,4.70,,4.2712
Kepler-205 b,Transit,0,0.030700,,,0.000000,3834.00,0.48,0.51,-0.250,,4.78,,1.9768
Kepler-205 b,Transit,0,,,,,4281.60,0.60,0.67,-0.125,-0.956,4.70,,4.2712
Kepler-205 b,Transit,0,0.030700,,,0.000000,3834.00,0.48,0.51,-0.250,,4.78,,1.9768
Kepler-205 b,Transit,0,,,,,4121.00,0.62,0.66,,-1.000,,,
Kepler-205 b,Transit,0,0.032000,,,0.000000,4303.00,0.56,0.59,,,4.71,13.900,
Kepler-205 b,Transit,0,,,,,4121.00,0.64,,,,,,
Kepler-205 b,Transit,0,,,,,4255.00,0.58,0.60,-0.320,,4.69,3.160,
Kepler-205 c,Transit,0,,,,,4281.60,0.60,0.67,-0.125,-0.956,4.70,,4.2712
Kepler-205 c,Transit,0,0.116400,,,0.000000,3834.00,0.48,0.51,-0.250,,4.78,,7.5356
Kepler-205 c,Transit,0,0.116400,,,0.000000,3834.00,0.48,0.51,-0.250,,4.78,,7.5356
Kepler-205 c,Transit,0,0.116170,,,,3834.00,0.48,0.51,-0.250,,,,
Kepler-205 c,Transit,0,,,,,4121.00,0.64,,,,,,
