pl_name,discoverymethod,pl_controv_flag,pl_orbsmax,pl_msinie,pl_dens,pl_orbeccen,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens
55 Cnc e,Radial Velocity,0,0.037700,7.46870,,0.264000,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc e,Radial Velocity,0,0.015830,,5.90000,,,0.94,0.96,,,,,
55 Cnc e,Radial Velocity,0,0.015440,7.80000,4.78000,0.061000,5234.00,0.94,0.91,0.310,,4.45,,
55 Cnc e,Radial Velocity,0,0.015440,,6.66000,0.050000,5172.00,0.94,0.91,0.350,,4.43,,
55 Cnc e,Radial Velocity,0,,,6.25000,,5172.00,0.95,0.87,0.350,,4.43,,1.4100
55 Cnc f,Radial Velocity,0,0.770000,54.66400,,0.320000,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc f,Radial Velocity,0,0.792000,46.87969,,0.142000,5317.89,0.96,0.97,0.383,,4.46,,
55 Cnc f,Radial Velocity,0,0.781000,45.76600,,0.200000,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc f,Radial Velocity,0,0.770800,47.80000,,0.080000,5172.00,0.94,0.91,0.350,,4.43,,
55 Cnc f,Radial Velocity,0,0.775000,44.81200,,0.000000,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc f,Radial Velocity,0,0.788000,,,0.305000,,,0.95,,,,,
55 Cnc f,Radial Velocity,0,0.773300,,,0.080000,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
6 Lyn b,Radial Velocity,0,2.200000,762.80000,,0.134000,4978.00,5.20,1.70,-0.130,1.176,3.16,,
6 Lyn b,Radial Velocity,0,2.180000,702.40430,,0.125000,,5.20,1.82,,,,,
6 Lyn b,Radial Velocity,0,2.110000,638.83830,,0.073000,4938.00,5.20,1.44,,,3.19,,
61 Vir b,Radial Velocity,0,0.049560,5.11704,,0.099000,5585.57,1.03,0.91,0.028,,4.37,,
61 Vir b,Radial Velocity,0,0.050201,5.10000,,0.120000,5577.00,0.96,0.94,-0.010,-0.095,4.34,8.960,
61 Vir c,Radial Velocity,0,0.215100,16.11390,,0.068000,5585.57,1.03,0.91,0.028,,4.37,,
61 Vir c,Radial Velocity,0,0.217500,18.20000,,0.140000,5577.00,0.96,0.94,-0.010,-0.095,4.34,8.960,
61 Vir d,Radial Velocity,0,0.476000,22.90000,,0.350000,5577.00,0.96,0.94,-0.010,-0.095,4.34,8.960,
7 CMa b,Radial Velocity,0,1.900000,826.30000,,0.140000,4792.00,2.30,1.52,0.210,1.053,3.25,,
7 CMa b,Radial Velocity,0,1.930000,781.86180,,0.220000,4794.52,4.91,,0.088,,,,
7 CMa b,Radial Velocity,0,1.758000,587.98550,,0.060000,4826.00,4.87,1.34,0.210,1.063,3.19,4.300,
7 CMa c,Radial Velocity,0,2.153000,276.51210,,0.080000,4826.00,4.87,1.34,0.210,1.063,3.19,4.300,
70 Vir b,Radial Velocity,0,0.480000,2421.86460,,0.400000,5531.00,1.84,1.14,-0.060,,3.97,,
70 Vir b,Radial Velocity,0,0.476500,2297.89938,,0.398900,5481.86,1.92,1.06,-0.040,,3.89,,
70 Vir b,Radial Velocity,0,0.481000,2351.94200,,0.399000,5439.00,1.94,1.09,-0.090,0.451,3.90,7.770,
70 Vir b,Radial Velocity,0,0.456000,2084.88000,,0.397000,,,,,,,,
70 Vir b,Radial Velocity,0,0.484000,,,0.400700,5545.00,,1.11,-0.012,,4.07,8.000,
70 Vir b,Radial Velocity,0,0.481000,2357.02728,,0.398800,5495.00,1.89,1.09,,,3.95,,
75 Cet b,Radial Velocity,0,2.100000,953.49000,,0.117000,4846.00,10.50,2.49,0.000,1.730,2.63,,
8 UMi b,Radial Velocity,0,0.490000,476.74500,,0.060000,4847.40,9.90,1.80,-0.030,,2.57,1.700,
8 UMi b,Radial Velocity,0,0.490000,416.35730,,0.060000,4847.00,10.30,1.44,-0.030,,2.57,,
81 Cet b,Radial Velocity,0,2.170000,1274.40000,,,,,1.60,,,,,
81 Cet b,Radial Velocity,0,2.500000,1684.40000,,0.206000,4785.00,11.00,2.40,-0.060,1.778,2.35,,
91 Aqr b,Radial Velocity,0,0.700000,1017.00000,,0.027000,4665.00,11.00,1.40,-0.030,,2.52,3.560,
AB Pic b,Imaging,0,260.000000,,,,,,,,,,0.030,
AU Mic b,Transit,0,0.066000,57.20940,4.40000,0.100000,3700.00,0.75,0.50,,-1.046,,0.022,
AU Mic b,Transit,0,0.064500,,1.40000,0.000000,3700.00,0.75,0.50,,,,0.022,
AU Mic c,Transit,0,0.110100,,2.30000,0.000000,3700.00,0.75,0.50,,,,0.022,
BD+03 2562 b,Radial Velocity,0,1.300000,2034.11200,,0.200000,4095.00,32.35,1.14,-0.710,2.700,1.89,5.200,
BD+14 4559 b,Radial Velocity,0,0.777000,467.19000,,0.290000,5008.00,0.95,0.86,0.100,-0.320,4.60,,
BD+14 4559 b,Radial Velocity,0,0.780000,330.54320,,0.290000,4864.00,0.86,0.49,0.170,,4.26,,
BD+15 2375 b,Radial Velocity,0,0.576000,337.21763,,0.001000,4649.00,8.95,1.08,-0.220,1.570,2.61,7.410,
BD+15 2940 b,Radial Velocity,0,0.539000,352.78000,,0.260000,4796.00,14.70,1.10,0.280,2.010,2.80,7.100,
BD+20 2457 b,Radial Velocity,0,1.450000,6807.63000,,0.150000,4137.00,49.00,2.80,-1.000,3.170,1.51,,
BD+20 2457 b,Radial Velocity,0,1.050000,17668.16970,,0.150000,4259.00,71.02,10.83,-0.790,,1.77,,
BD+20 2457 c,Radial Velocity,0,2.010000,3963.17000,,0.180000,4137.00,49.00,2.80,-1.000,3.170,1.51,,
BD+20 274 b,Radial Velocity,0,1.300000,1334.88600,,0.210000,4296.00,17.30,0.80,-0.460,1.960,1.99,,
BD+20 594 b,Transit,0,0.241000,,7.89000,0.000000,5766.00,0.93,0.96,-0.150,-0.056,4.50,3.340,1.7000
BD+20 594 b,Transit,0,,,,0.000000,5766.00,1.08,1.67,-0.150,,4.50,,1.8900
BD+20 594 b,Transit,0,,,,,5703.00,0.96,0.96,-0.060,,4.38,,
BD+45 564 b,Radial Velocity,0,0.830000,432.24663,,0.120000,5004.00,,0.81,-0.090,,4.22,,
BD+48 738 b,Radial Velocity,0,1.000000,289.22530,,0.200000,4414.00,11.00,0.74,-0.200,1.690,2.24,,
BD+48 740 b,Radial Velocity,0,1.700000,540.31100,,0.760000,4534.00,10.33,1.09,-0.130,1.640,2.48,,
BD+49 828 b,Radial Velocity,0,4.200000,508.50000,,0.350000,4943.00,7.60,1.52,-0.190,1.470,2.85,2.340,
BD+55 362 b,Radial Velocity,0,0.780000,228.83645,,0.270000,5012.00,,0.91,0.180,,4.09,,
BD+63 1405 b,Radial Velocity,0,2.060000,1258.60049,,0.880000,5000.00,,0.82,-0.090,,4.20,,
BD-00 4475 b,Radial Velocity,0,1.480000,7961.60160,,0.390000,5040.00,,0.81,-0.140,,4.25,,
