rowid,plntname,centralwavelng,bandwidth,especlipdep,especlipdeperr1,especlipdeperr2,especlipdeplim,espbritemp,espbritemperr1,espbritemperr2,espbritemplim,plntreflink,facility,instrument
1,WASP-80 b,3.6000,,0.455000,0.100000,-0.100000,0,901,68,-72,0,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
2,WASP-80 b,4.5000,,0.944000,0.064000,-0.065000,0,888,58,-57,0,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
3,HAT-P-13 b,3.6000,,0.066200,0.011300,-0.011300,0,,,,,<a refstr=BUHLER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...26B/abstract target=ref>Buhler et al. 2016</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
4,HAT-P-13 b,4.5000,,0.142600,0.013000,-0.013000,0,,,,,<a refstr=BUHLER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...26B/abstract target=ref>Buhler et al. 2016</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
5,XO-3 b,4.5000,,0.158000,0.003600,-0.003600,0,,,,,<a refstr=WONG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...794..134W/abstract target=ref>Wong et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
6,WASP-12 b,1.1250,0.0500,0.119000,0.017000,-0.017000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
7,WASP-12 b,1.1750,0.0500,0.128000,0.012000,-0.012000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
8,WASP-12 b,1.2250,0.0500,0.101000,0.012000,-0.012000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
9,WASP-12 b,1.2750,0.0500,0.142000,0.011000,-0.011000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
10,WASP-12 b,1.3250,0.0500,0.154000,0.012000,-0.012000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
11,WASP-12 b,1.3750,0.0500,0.156000,0.012000,-0.012000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
12,WASP-12 b,1.4250,0.0500,0.184000,0.012000,-0.012000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
13,WASP-12 b,1.4750,0.0500,0.198000,0.012000,-0.012000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
14,WASP-12 b,1.5250,0.0500,0.196000,0.013000,-0.013000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
15,WASP-12 b,1.5750,0.0500,0.179000,0.014000,-0.014000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
16,WASP-12 b,1.6250,0.0500,0.192000,0.017000,-0.017000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
17,WASP-12 b,3.6000,,0.421000,0.011000,-0.011000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
18,WASP-12 b,4.5000,,0.428000,0.012000,-0.012000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
19,WASP-12 b,5.8000,,0.696000,0.060000,-0.060000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
20,WASP-12 b,8.0000,,0.696000,0.096000,-0.096000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
21,WASP-43 b,1.1425,0.0350,0.036700,0.004500,-0.004500,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
22,WASP-43 b,1.1775,0.0350,0.043100,0.003600,-0.003600,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
23,WASP-43 b,1.2125,0.0350,0.041400,0.003800,-0.003800,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
24,WASP-43 b,1.2475,0.0350,0.048200,0.003600,-0.003600,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
25,WASP-43 b,1.2825,0.0350,0.046000,0.003700,-0.003700,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
26,WASP-43 b,1.3175,0.0350,0.047300,0.003300,-0.003300,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
27,WASP-43 b,1.3525,0.0350,0.035300,0.003400,-0.003400,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
28,WASP-43 b,1.3875,0.0350,0.031300,0.003000,-0.003000,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
29,WASP-43 b,1.4225,0.0350,0.032000,0.003600,-0.003600,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
30,WASP-43 b,1.4575,0.0350,0.039400,0.003600,-0.003600,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
31,WASP-43 b,1.4925,0.0350,0.043900,0.003300,-0.003300,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
32,WASP-43 b,1.5275,0.0350,0.045800,0.003500,-0.003500,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
33,WASP-43 b,1.5625,0.0350,0.059500,0.003600,-0.003600,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
34,WASP-43 b,1.5975,0.0350,0.061400,0.003700,-0.003700,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
35,WASP-43 b,1.6325,0.0350,0.073200,0.004200,-0.004200,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
36,TrES-1 b,3.6000,0.7500,0.083000,0.024000,-0.024000,0,1270,110,-110,0,<a refstr=CUBILLOS_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797...42C/abstract target=ref>Cubillos et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
37,TrES-1 b,4.5000,1.0150,0.094000,0.024000,-0.024000,0,1126,90,-90,0,<a refstr=CUBILLOS_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797...42C/abstract target=ref>Cubillos et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
38,TrES-1 b,5.8000,1.4250,0.162000,0.042000,-0.042000,0,1205,130,-130,0,<a refstr=CUBILLOS_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797...42C/abstract target=ref>Cubillos et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
39,TrES-1 b,8.0000,2.9050,0.213000,0.042000,-0.042000,0,1190,130,-130,0,<a refstr=CUBILLOS_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797...42C/abstract target=ref>Cubillos et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
40,TrES-1 b,16.0000,,0.330000,0.120000,-0.120000,0,1270,310,-310,0,<a refstr=CUBILLOS_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797...42C/abstract target=ref>Cubillos et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
41,HAT-P-32 b,2.1500,,0.178000,0.057000,-0.057000,0,2096,206,-180,0,<a refstr=ZHAO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...796..115Z/abstract target=ref>Zhao et al. 2014</a>,California Institute of Technology 5.1m (200inch) Hale Telescope at Palomar Observatory,Wide-field Infra-Red Camera (WIRC)
42,HAT-P-32 b,1.6350,,0.090000,0.033000,-0.033000,0,2065,191,-155,0,<a refstr=ZHAO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...796..115Z/abstract target=ref>Zhao et al. 2014</a>,California Institute of Technology 5.1m (200inch) Hale Telescope at Palomar Observatory,Wide-field Infra-Red Camera (WIRC)
43,HAT-P-32 b,3.6000,,0.364000,0.016000,-0.016000,0,2063,36,-36,0,<a refstr=ZHAO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...796..115Z/abstract target=ref>Zhao et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
44,HAT-P-32 b,4.5000,,0.438000,0.020000,-0.020000,0,2014,41,-41,0,<a refstr=ZHAO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...796..115Z/abstract target=ref>Zhao et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
45,WASP-43 b,0.7630,,0.037000,0.023000,-0.021000,0,2225,139,-225,0,<a refstr=CHEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..40C/abstract target=ref> Chen et al. 2014</a>,European Southern Observatory (ESO)/Max Planck Gesellschaft (MPG) 2.2m Telescope at La Silla Observatory,GROND
46,WASP-43 b,2.1900,0.3900,0.197000,0.042000,-0.042000,0,1878,108,-116,0,<a refstr=CHEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..40C/abstract target=ref> Chen et al. 2014</a>,European Southern Observatory (ESO)/Max Planck Gesellschaft (MPG) 2.2m Telescope at La Silla Observatory,GROND
47,WASP-19 b,0.8660,0.1300,0.080000,0.029000,-0.029000,0,,,,,<a refstr=ZHOU_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774..118Z/abstract target=ref> Zhou et al. 2013</a>,Las Cumbres Observatory Global Telescope Network (LCOGTN) 2m Faulkes Telescope South at Siding Spring Observatory (SSO),Merope 2Kx2K
48,WASP-3 b,0.6500,,0.023000,0.044000,-0.044000,0,,,,,<a refstr=CHRISTIANSEN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...94C/abstract target=ref> Christiansen et al. 2011 </a>,Deep Impact spacecraft,High Resolution Imager (HRI)
49,TrES-3 b,0.6500,,-0.020000,0.041000,-0.041000,0,,,,,<a refstr=CHRISTIANSEN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...94C/abstract target=ref> Christiansen et al. 2011 </a>,Deep Impact spacecraft,High Resolution Imager (HRI)
50,TrES-2 b,0.6500,,0.023000,0.071000,-0.071000,0,,,,,<a refstr=CHRISTIANSEN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...94C/abstract target=ref> Christiansen et al. 2011 </a>,Deep Impact spacecraft,High Resolution Imager (HRI)
51,TrES-2 b,2.1460,,0.062000,0.013000,-0.011000,0,1636,79,-88,0,<a refstr=CROLL_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...717.1084C/abstract target=ref> Croll et al. 2010 </a>,3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory,Wide-field Infrared Camera (WIRCam)
52,HD 189733 b,8.0000,,0.344000,0.003600,-0.003600,0,,,,,<a refstr=AGOL_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...721.1861A/abstract target=ref> Agol et al. 2010 </a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
53,HAT-P-4 b,0.6500,,-0.006900,0.039700,-0.039700,0,,,,,<a refstr=CHRISTIANSEN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...94C/abstract target=ref> Christiansen et al. 2011 </a>,Deep Impact spacecraft,High Resolution Imager (HRI)
54,GJ 436 b,8.0000,,0.057000,0.008000,-0.008000,0,712,36,-36,0,<a refstr=DEMING_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...667L.199D/abstract target=ref> Deming et al. 2007 </a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
55,CoRoT-2 b,4.5000,,0.510000,0.041000,-0.040000,0,,,,,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
56,CoRoT-2 b,8.0000,,0.410000,0.110000,-0.110000,0,,,,,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
57,CoRoT-1 b,2.1470,,0.336000,0.042000,-0.042000,0,2460,80,-160,0,<a refstr=ROGERS_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707.1707R/abstract target=ref> Rogers et al. 2009 </a>,Astrophysical Research Consortium (ARC) 3.5m Telescope At Apache Point Observatory (APO),Near-Infrared Camera & Fabry-Perot Spectrometer (NIC-FPS)
58,CoRoT-1 b,2.0950,0.0200,0.278000,0.043000,-0.066000,0,,,,,<a refstr=GILLON_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..359G/abstract target=ref> Gillon et al. 2009 </a>,European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Yepun at Paranal Observatory,High Acuity Wide-field K-band Imager (HAWK-I)
59,WASP-121 b,1.1310,0.0190,0.092100,0.008100,-0.008100,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
60,WASP-121 b,1.1500,0.0180,0.081300,0.009400,-0.009500,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
61,WASP-121 b,1.1680,0.0190,0.097800,0.009100,-0.009000,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
62,WASP-121 b,1.1870,0.0180,0.096300,0.009000,-0.009300,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
63,WASP-121 b,1.2060,0.0190,0.116300,0.007900,-0.007900,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
64,WASP-121 b,1.2240,0.0190,0.120200,0.007800,-0.007800,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
65,WASP-121 b,1.2430,0.0180,0.110900,0.008700,-0.008700,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
66,WASP-121 b,1.2610,0.0190,0.098900,0.007900,-0.007800,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
67,WASP-121 b,1.2800,0.0180,0.114300,0.008000,-0.008000,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
68,WASP-121 b,1.2980,0.0190,0.096600,0.008800,-0.008800,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
69,WASP-121 b,1.3170,0.0180,0.100000,0.008900,-0.008600,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
70,WASP-121 b,1.3360,0.0190,0.113300,0.009500,-0.009400,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
71,WASP-121 b,1.3550,0.0190,0.116300,0.007800,-0.007800,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
72,WASP-121 b,1.3730,0.0180,0.118500,0.007800,-0.007800,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
73,WASP-121 b,1.3910,0.0190,0.132100,0.008900,-0.008800,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
74,WASP-121 b,1.4100,0.0180,0.147000,0.008100,-0.008000,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
75,WASP-121 b,1.4290,0.0190,0.128100,0.009000,-0.009200,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
76,WASP-121 b,1.4470,0.0180,0.123800,0.009200,-0.009400,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
77,WASP-121 b,1.4660,0.0190,0.119100,0.009400,-0.009400,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
78,WASP-121 b,1.4850,0.0190,0.127900,0.009500,-0.010000,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
79,WASP-121 b,1.5030,0.0180,0.147900,0.008600,-0.008500,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
80,WASP-121 b,1.5220,0.0190,0.140800,0.008600,-0.008500,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
81,WASP-121 b,1.5400,0.0180,0.124600,0.008900,-0.008900,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
82,WASP-121 b,1.5580,0.0190,0.132100,0.009800,-0.010300,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
83,WASP-121 b,1.5770,0.0180,0.126400,0.009300,-0.009200,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
84,WASP-121 b,1.5950,0.0190,0.124200,0.009300,-0.009400,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
85,WASP-121 b,1.6140,0.0180,0.127000,0.010600,-0.010700,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
86,WASP-121 b,1.6320,0.0190,0.112300,0.009800,-0.009800,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
87,55 Cnc e,4.5000,,0.017600,0.002800,-0.002800,0,,,,,<a refstr=DEMORY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.2018D/abstract target=ref>Demory et al. 2016</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
88,55 Cnc e,4.5000,,0.004700,0.002100,-0.002100,0,,,,,<a refstr=DEMORY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.2018D/abstract target=ref>Demory et al. 2016</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
89,55 Cnc e,4.5000,,0.013100,0.002800,-0.002800,0,2360,300,-300,0,<a refstr=DEMORY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...751L..28D/abstract target=ref>Demory et al. 2012</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
90,CoRoT-1 b,3.6000,,0.415000,0.042000,-0.042000,0,,,,,<a refstr=DEMING_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...95D/abstract target=ref>Deming et al. 2011</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
91,CoRoT-1 b,4.5000,,0.482000,0.042000,-0.042000,0,,,,,<a refstr=DEMING_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...95D/abstract target=ref>Deming et al. 2011</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
92,CoRoT-1 b,1.6350,,0.145000,0.049000,-0.049000,0,,,,,<a refstr=ZHAO_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...744..122Z/abstract target=ref>Zhao et al. 2012</a>,Palomar Observatory 200-inch Hale Telescope,Wide-field InfraRed Camera (WIRC)
