rowid,plntname,centralwavelng,bandwidth,especlipdep,especlipdeperr1,especlipdeperr2,especlipdeplim,espbritemp,espbritemperr1,espbritemperr2,espbritemplim,plntreflink,facility,instrument
446,KELT-1 b,1.7300,0.0400,0.162300,0.015800,-0.015800,0,,,,,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..242B/abstract target=ref>Beatty et al. 2017</a>,LBT Consortium Large Binocular Telescope (LBT) at Mount Graham International Observatory,LUCI1
447,WASP-18 b,1.1560,0.0330,0.077500,0.002000,-0.002000,0,,,,,<a refstr=ARCANGELI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...855L..30A/abstract target=ref>Arcangeli et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
448,WASP-18 b,1.1900,0.0330,0.087400,0.002000,-0.002000,0,,,,,<a refstr=ARCANGELI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...855L..30A/abstract target=ref>Arcangeli et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
449,WASP-18 b,1.2230,0.0330,0.090800,0.002000,-0.002000,0,,,,,<a refstr=ARCANGELI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...855L..30A/abstract target=ref>Arcangeli et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
450,WASP-18 b,1.2550,0.0320,0.090800,0.001900,-0.001900,0,,,,,<a refstr=ARCANGELI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...855L..30A/abstract target=ref>Arcangeli et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
451,WASP-18 b,1.2880,0.0330,0.094000,0.001900,-0.001900,0,,,,,<a refstr=ARCANGELI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...855L..30A/abstract target=ref>Arcangeli et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
452,WASP-18 b,1.3210,0.0330,0.098900,0.002000,-0.002000,0,,,,,<a refstr=ARCANGELI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...855L..30A/abstract target=ref>Arcangeli et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
453,WASP-18 b,1.3530,0.0330,0.105000,0.002000,-0.002000,0,,,,,<a refstr=ARCANGELI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...855L..30A/abstract target=ref>Arcangeli et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
454,WASP-18 b,1.3870,0.0330,0.110500,0.002000,-0.002000,0,,,,,<a refstr=ARCANGELI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...855L..30A/abstract target=ref>Arcangeli et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
455,WASP-18 b,1.4190,0.0330,0.114100,0.002100,-0.002100,0,,,,,<a refstr=ARCANGELI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...855L..30A/abstract target=ref>Arcangeli et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
456,WASP-18 b,1.4530,0.0330,0.113100,0.002100,-0.002100,0,,,,,<a refstr=ARCANGELI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...855L..30A/abstract target=ref>Arcangeli et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
457,WASP-18 b,1.4850,0.0320,0.119000,0.002100,-0.002100,0,,,,,<a refstr=ARCANGELI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...855L..30A/abstract target=ref>Arcangeli et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
458,WASP-18 b,1.5180,0.0330,0.123700,0.002100,-0.002100,0,,,,,<a refstr=ARCANGELI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...855L..30A/abstract target=ref>Arcangeli et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
459,WASP-18 b,1.5500,0.0330,0.117100,0.002300,-0.002300,0,,,,,<a refstr=ARCANGELI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...855L..30A/abstract target=ref>Arcangeli et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
460,WASP-18 b,1.5830,0.0330,0.120500,0.002400,-0.002400,0,,,,,<a refstr=ARCANGELI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...855L..30A/abstract target=ref>Arcangeli et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
461,WASP-18 b,3.6000,,0.302000,0.015000,-0.015000,0,,,,,<a refstr=ARCANGELI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...855L..30A/abstract target=ref>Arcangeli et al. 2018</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
462,WASP-18 b,4.5000,,0.385000,0.017000,-0.017000,0,,,,,<a refstr=ARCANGELI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...855L..30A/abstract target=ref>Arcangeli et al. 2018</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
463,WASP-18 b,5.8000,,0.370000,0.030000,-0.030000,0,,,,,<a refstr=ARCANGELI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...855L..30A/abstract target=ref>Arcangeli et al. 2018</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
